sid;transport_mode;Y_pred
2514601;3;0
2502563;4;0
2502563;7;0
109588;4;0
2348584;5;1
1930312;1;0
1943499;1;1
2628311;1;0
2657863;3;0
2657866;6;0
2258883;4;0
2010856;7;1
2015705;4;0
2025064;4;0
3291520;1;1
229281;7;1
253979;3;0
210807;6;0
2747057;4;0
2740574;1;0
179827;5;0
191166;1;0
2709589;4;0
2706128;1;0
2731132;4;0
2731132;1;0
1677028;6;0
941838;3;0
971390;3;0
957638;1;0
3152347;1;0
3152342;5;0
1502022;4;0
1507813;4;0
1507818;1;0
1494653;5;0
630084;1;0
647514;1;0
625228;3;0
625228;4;0
625230;1;1
823260;3;0
2792375;5;1
56470;8;0
2595734;1;0
2598716;1;1
2989397;3;0
1833922;1;0
1834919;5;0
1834919;4;0
1834919;1;0
1848412;1;0
1848411;1;0
1848415;1;1
1848410;1;1
1840740;3;0
1718544;3;0
1724905;4;0
1311070;4;0
1311070;1;0
3215011;8;0
1073784;1;0
1073784;3;0
488032;3;0
2417355;3;0
2425984;6;0
2416520;7;0
2389138;1;0
672769;4;0
672769;1;1
672769;3;0
3050728;4;0
3079858;4;0
3082114;1;0
3058585;1;0
3094947;4;0
2839255;3;0
2856725;1;0
2095154;7;1
2095154;4;0
2095153;3;0
2208731;5;1
2216351;4;0
3162473;3;0
3162473;1;0
3185182;4;0
1206045;1;0
1218864;3;0
569434;1;0
569434;8;0
3360245;3;0
3247112;4;0
841453;1;0
856144;8;0
1047347;5;1
1047347;6;0
1806797;3;0
2437674;1;1
2444231;4;0
696607;3;0
3085352;1;1
1597241;1;0
1633047;4;0
1638095;3;0
1638095;4;0
2896352;4;0
2889800;1;0
2277999;1;0
2277999;4;0
1985349;4;0
1985349;7;1
2167242;1;0
804861;1;0
1296038;3;0
3235590;1;1
714964;1;0
714964;4;0
777116;4;0
739826;1;0
739826;7;1
725085;1;0
1650365;4;0
1650365;3;0
1631556;6;0
1576690;4;0
276348;1;0
336885;3;0
336885;11;0
360451;1;0
360451;4;0
415738;7;0
415738;4;0
370456;1;0
357947;3;0
394509;6;0
394509;3;0
2928720;7;1
2913883;4;0
2484742;1;0
2514828;3;0
2504650;1;0
2504653;5;0
2502525;3;0
113944;1;0
113944;6;0
120492;5;1
104988;3;0
2355882;4;0
1975590;1;1
2675322;3;0
2675322;1;0
2278554;1;0
2259698;4;0
2228144;7;1
2241955;11;1
2241955;4;0
2241955;3;0
2263930;6;0
2289042;3;0
2260077;3;0
2016058;1;0
1995385;3;0
1985178;4;0
2027721;4;0
2027722;7;1
2007676;4;0
2018315;1;0
1999764;4;0
1999764;3;0
2025521;1;0
2021186;3;0
1164078;4;0
1164072;3;0
3311421;1;0
252690;7;1
2763845;1;0
2179664;1;0
2179664;7;1
149627;1;0
149627;4;0
143299;1;0
197342;4;0
2704380;1;0
2704377;1;0
2713481;1;1
2684473;1;0
2684472;3;0
2718066;4;0
2718066;1;0
2715065;11;0
2725397;4;0
2706632;7;1
3027659;3;0
3029149;4;0
3029129;1;0
1670223;3;0
936854;5;0
3110915;1;0
3110915;8;0
3139962;4;0
1498586;7;1
1506439;3;0
1467818;4;0
1461362;4;0
1511065;6;0
1450999;1;0
1451002;4;0
1453915;6;0
1453915;3;0
664803;7;1
818389;3;0
818389;4;0
833225;3;0
90210;11;0
93949;3;0
93949;6;0
93949;5;0
79681;8;0
2968767;1;0
1876449;4;0
1851633;4;0
1729160;3;0
1298255;1;0
1095662;3;0
1063703;3;0
1089053;1;0
504671;1;0
504671;3;0
24899;11;0
24899;3;0
11923;6;0
603240;7;0
587443;1;1
1009049;7;0
985991;1;1
985991;3;0
991426;4;0
2400824;7;1
2408609;3;0
677375;11;0
3063778;7;0
2863297;8;0
2863297;1;0
2113769;3;0
2081852;3;0
2101290;1;0
2566807;6;0
2550904;7;0
2220141;1;1
2221441;1;0
2203557;1;0
2191196;8;0
3185665;3;0
3161213;4;0
538004;4;0
538003;3;0
538003;1;0
3344158;4;0
3344158;7;0
3369134;4;0
3357919;3;0
3357919;7;0
3384680;4;0
3262442;2;0
859694;7;1
1544044;1;0
1813227;4;0
1809728;4;0
2433456;4;0
283983;1;0
390118;3;0
402540;4;0
379328;3;0
2932701;10;0
2919341;1;0
2521529;3;0
2494121;5;1
2494123;5;1
2528484;2;1
2516209;6;0
137808;1;1
119371;11;0
129237;2;1
133703;6;0
2384195;3;0
2384195;7;0
2340454;7;1
2366753;4;0
1930954;4;0
2627198;1;0
2627198;5;0
2643677;5;0
2635511;1;1
2632210;7;1
2675212;9;1
2675212;7;0
2226969;1;0
2226971;11;0
2267059;4;0
2259689;4;0
2265017;3;0
2265017;7;1
2265016;1;0
2244630;1;0
2270571;3;0
2239466;10;0
2024914;3;0
1979641;4;0
2002004;3;0
1149002;7;0
3337098;10;0
3337098;4;0
3337104;4;0
3313598;3;0
3327906;4;0
3327906;9;1
237580;3;0
241677;1;0
228326;7;0
238017;6;0
2739617;11;0
2739624;1;0
2751890;6;0
2165854;4;0
2175487;7;0
2175487;3;0
2180525;3;0
2180525;2;0
2159814;3;0
2159814;1;0
188517;1;0
152413;1;0
152413;3;0
152413;4;0
175798;1;0
175798;11;0
150373;11;0
171393;3;0
2680131;3;0
2698090;1;1
2698090;1;1
3017960;7;0
3024368;3;0
1674342;8;0
1674341;9;1
1674341;2;1
1674008;2;0
964203;3;0
968449;1;0
2297487;1;0
3143901;3;0
3126459;3;0
3107147;3;0
1478485;4;0
1496391;4;0
622435;3;0
649499;1;0
639462;3;0
650856;4;0
620558;3;0
793728;7;0
2818097;5;0
2825695;4;0
2614084;8;0
2606917;6;0
2606917;5;0
2590815;8;0
2590814;3;0
2950764;7;0
2950764;1;1
2949049;4;0
3002189;3;0
3002189;4;0
2961342;3;0
1847028;3;0
1874287;3;0
1878235;11;0
1720882;3;0
1717094;3;0
1709452;1;1
1323339;1;0
1323339;1;0
1302865;2;0
1289134;3;0
3199812;4;0
1071084;3;0
1071078;6;0
1071078;5;1
1063138;2;1
1063136;4;0
1078319;9;0
490912;9;0
23246;9;0
23246;5;0
23580;4;0
4654;1;1
2032;1;0
41312;7;1
41312;3;0
8166;8;0
581372;6;0
609873;1;0
983988;3;0
998559;1;0
998559;1;0
979995;11;0
1910530;3;0
1913411;1;0
1928645;3;0
1927441;4;0
1927441;11;0
2415196;3;0
2408610;4;0
2420490;8;0
2420490;7;0
700517;3;0
668034;9;0
689086;7;1
673275;1;0
3094793;9;0
2878482;4;0
2854457;4;0
2881779;10;0
2856022;7;1
2121828;3;0
2111254;4;0
1234456;4;0
1219578;1;0
1219580;4;0
1213154;3;0
554576;1;0
520794;11;0
520793;3;0
3379568;8;0
3371666;1;1
3371666;4;0
1540083;1;0
1544576;2;1
1809055;4;0
1809055;9;0
2460802;7;1
773178;4;0
413266;3;0
2916558;5;0
2483734;1;0
104594;6;0
2621699;4;0
2621699;3;0
2276828;4;0
2276821;1;0
2270419;4;0
2272559;4;0
2270999;1;1
2270999;3;0
2255365;1;0
2255365;3;0
2227342;1;0
2018294;1;0
216255;4;0
213243;7;0
2735915;3;0
2755454;3;0
2145125;1;0
175486;4;0
2685755;3;0
2684660;1;0
3030031;4;0
971416;4;0
940884;4;0
626626;1;0
2829198;1;0
2820974;4;0
2615052;3;0
1840936;3;0
1739016;3;0
1091741;5;0
602493;7;1
1903044;3;0
1903044;6;0
2409104;1;0
1228828;3;0
1228828;1;0
1022452;3;0
1043468;1;0
1024815;3;0
755763;7;1
728660;4;0
787706;11;0
787706;4;0
1565877;4;0
1625669;1;1
1625624;4;0
1565878;4;0
1567148;7;1
1582649;7;1
1635597;4;0
1635597;3;0
1558811;3;0
1588150;3;0
1647415;1;0
1592738;4;0
333177;7;0
313145;4;0
313145;1;0
366274;1;0
366274;4;0
2920479;4;0
2904393;3;0
2921100;3;0
2526048;5;0
134411;7;0
109075;4;0
2367875;4;0
2367875;1;1
2367874;4;0
2351150;1;1
2339776;3;0
2380157;11;0
2357339;4;0
2624212;7;0
2629651;4;0
2629652;1;0
2265441;4;0
2265441;11;0
2285272;7;0
2265435;7;0
2021834;11;0
2021834;4;0
2017586;3;0
2023508;1;0
3308014;1;0
3292573;4;0
3292573;3;0
3292579;7;1
3292579;3;0
249935;4;0
237297;4;0
226527;7;0
2141239;4;0
2141239;1;0
150821;7;0
150821;3;0
202275;7;1
193480;6;0
186888;4;0
186888;5;1
149845;4;0
149844;4;0
2697526;3;0
2688329;7;1
948058;4;0
932873;7;1
955215;4;0
955215;7;0
2328469;4;0
3119513;1;0
1456147;4;0
654459;4;0
638706;4;0
615028;3;0
615028;4;0
615925;4;0
826382;4;0
805595;3;0
805595;7;1
794718;3;0
807488;4;0
2795062;1;1
2814784;7;1
2801500;3;0
2828793;1;0
82426;10;0
82426;7;1
82203;4;0
2993307;4;0
2987526;7;0
2998905;3;0
1861835;1;0
1860254;3;0
1745658;3;0
900749;7;1
3222293;7;1
3221364;1;0
3238333;1;0
3231979;7;0
3231979;7;1
3216960;7;0
1090111;4;0
32360;4;0
1013488;7;0
1007678;4;0
1925656;7;1
1909273;4;0
1920831;3;0
2405553;1;0
693917;4;0
693919;3;0
683816;7;1
668114;10;0
668114;7;0
3092803;3;0
3076339;1;0
3069380;7;0
2880666;3;0
2089001;1;0
2086977;11;0
2188330;7;1
2187931;3;0
2188668;1;0
2188668;7;1
3193123;7;1
3193123;3;0
1217662;1;0
540450;3;0
540450;1;0
537634;1;0
537634;4;0
3365865;7;1
3365865;3;0
3264925;1;0
3264925;4;0
3260559;3;0
3253988;11;0
873187;6;0
871120;11;0
871120;3;0
841866;1;0
1019837;4;0
1821632;7;1
1821632;7;1
1801686;3;0
1801686;1;0
2435166;3;0
2451509;3;0
2426849;1;0
1601317;4;0
1561948;3;0
1599854;7;0
1599854;3;0
354858;4;0
410038;7;0
2930325;7;1
2947193;3;0
196647;4;0
196647;1;0
196647;11;0
2705859;4;0
2295215;7;0
1455829;3;0
1491193;4;0
648744;3;0
648744;1;0
824419;3;0
56525;1;0
70817;2;0
70817;7;0
2613232;7;0
2613232;1;0
1867718;1;0
1074179;7;0
515672;1;0
43654;4;0
2388097;3;0
668319;4;0
708252;3;0
756964;1;0
741276;3;0
741276;1;0
1644269;3;0
1570799;1;0
1632685;1;0
1632685;1;0
1605628;3;0
339664;4;0
408685;1;0
363095;3;0
406126;1;0
2944136;3;0
2475889;4;0
113280;1;0
1969750;11;0
2767122;4;0
2767121;3;0
2136067;3;0
159666;3;0
149847;1;0
2714578;3;0
3026369;3;0
3026369;7;1
939561;7;1
2316839;4;0
3124457;4;0
3124457;7;1
1490647;7;1
802004;1;0
61192;3;0
61193;4;0
2609254;4;0
2603940;1;1
2603940;1;1
2614727;3;0
2600814;7;0
2600557;4;0
1723993;7;0
1723993;4;0
3215674;3;0
1105430;7;0
477234;3;0
575965;4;0
575965;1;0
1897002;1;0
684225;7;1
684225;3;0
682117;3;0
2097009;1;0
2122707;4;0
2122707;1;0
2122707;1;0
3162649;7;0
525294;7;0
525294;4;0
3354017;1;0
2470451;3;0
711966;7;0
711966;3;0
783102;1;0
728659;7;1
728659;1;1
783285;1;0
1612459;4;0
1629232;4;0
1611457;4;0
1630607;4;0
1610314;3;0
324731;4;0
303369;1;0
281299;1;0
261726;4;0
261723;1;0
362178;3;0
362178;1;0
383112;1;0
414798;3;0
379502;4;0
402942;7;0
402943;6;0
2900790;4;0
2887251;7;0
2887254;1;0
2945190;1;0
2519113;1;0
130063;7;1
1947891;10;0
1936215;4;0
1936215;1;0
2671819;3;0
2671819;1;0
2623758;6;0
2253652;1;0
1188378;1;0
3298091;3;0
3298091;4;0
3322390;3;0
2148908;3;0
2125377;1;0
2164241;4;0
187266;4;0
1688647;4;0
2334394;1;0
1452005;1;0
658241;1;0
636283;6;0
800944;3;0
2832183;1;0
2832183;1;0
2617501;3;0
2599829;4;0
2619474;1;0
2619474;8;0
2952437;1;0
2976711;3;0
1305583;4;0
495318;4;0
478091;7;1
478471;3;0
6366;8;0
18499;4;0
37725;1;0
14937;7;0
39147;4;0
589086;4;0
576143;1;0
991868;1;0
1920666;4;0
694836;1;0
2856876;11;0
2856876;1;0
3183809;7;0
1228645;3;0
521482;3;0
521485;7;1
521485;3;0
3357297;3;0
3345904;4;0
3283702;1;0
1037399;7;0
1526676;3;0
735700;4;0
780382;1;1
783057;4;0
756092;4;0
788715;1;0
770361;3;0
764533;1;1
764536;1;1
760061;1;1
707155;7;1
739974;1;0
739974;4;0
769626;1;0
769625;1;0
769626;1;0
773612;3;0
778305;1;0
762548;1;0
769079;1;0
766274;1;0
766274;3;0
713608;4;0
746173;3;0
792603;4;0
757826;7;1
773480;1;0
753329;3;0
751731;4;0
775316;4;0
729957;3;0
749932;4;0
775530;1;0
723983;4;0
722726;4;0
722726;1;0
722726;7;1
734536;4;0
708848;4;0
722725;4;0
759308;4;0
768340;1;0
715915;4;0
782096;1;0
718257;3;0
718257;4;0
727100;7;1
718181;3;0
713903;4;0
793179;7;1
720578;4;0
717042;1;0
757393;3;0
787963;4;0
779117;7;1
716875;7;1
728124;3;0
730350;3;0
775817;7;1
775579;3;0
786737;7;1
760682;1;0
716978;7;1
758862;3;0
769850;7;1
771653;7;1
762436;3;0
708419;7;1
752512;7;1
736811;4;0
736811;3;0
776572;4;0
763289;3;0
711092;4;0
763289;4;0
750356;1;0
758871;3;0
735609;1;1
783209;7;1
783209;3;0
748328;7;1
740766;3;0
1646045;7;1
1635914;1;1
1601124;1;1
1648554;3;0
1648687;4;0
1561302;4;0
1608677;4;0
1610931;3;0
1649630;7;1
1606882;1;0
1606881;6;0
1606882;4;0
1606882;1;0
1630924;1;1
1630926;1;1
1630926;4;0
1627458;1;1
1626774;4;0
1626744;7;1
1562097;1;0
1626744;4;0
1647504;4;0
1564362;4;0
1620029;1;0
1602525;1;0
1596828;1;0
1581879;4;0
1649032;4;0
1616330;3;0
1641228;4;0
1630784;1;1
1565698;3;0
1571917;1;0
1571788;1;0
1557774;7;1
1564917;1;0
1633664;1;0
1645217;4;0
1645217;1;0
1606235;3;0
1557038;4;0
1567872;4;0
1567872;3;0
1602532;4;0
1570737;7;1
1607651;3;0
1589329;3;0
1638804;4;0
1569122;4;0
1648190;3;0
1616343;7;1
1593290;7;1
1593290;4;0
1562930;3;0
1564732;1;0
1571786;3;0
1621169;1;0
1593293;1;0
1564366;1;0
1593293;3;0
1556621;7;1
1617600;4;0
1569735;7;1
1609144;4;0
1629181;4;0
1629181;7;1
1629181;1;0
1637648;7;1
1623988;1;0
1636962;7;1
1631855;7;1
1638803;4;0
1606368;3;0
1631458;1;0
1620916;4;0
1578016;3;0
1578016;7;1
1635247;3;0
1624386;7;1
1584024;4;0
1614383;7;1
1576301;4;0
1636959;4;0
1624969;1;0
1611600;1;1
1633292;1;0
1557034;7;1
1615947;3;0
1571000;7;1
1628292;4;0
1577700;1;0
1592226;1;0
1615779;3;0
1585466;7;1
1625180;4;0
1575316;3;0
1581545;7;1
1570470;3;0
1629752;7;1
1629752;3;0
1649707;4;0
1642469;7;1
1610867;3;0
1597714;4;0
1597717;7;1
1622609;4;0
1622609;3;0
1598588;3;0
1592936;4;0
1591982;4;0
1565952;3;0
1617918;7;1
1589391;7;1
1617571;4;0
1600952;4;0
1600952;7;1
1565369;7;1
1566011;4;0
1608413;7;1
1608413;3;0
1622496;7;1
1624715;3;0
1643529;3;0
1571046;7;1
1621073;7;1
1623401;3;0
1587800;7;0
1556481;3;0
1632435;4;0
1588203;3;0
1602191;1;0
315828;3;0
315828;1;0
302057;3;0
319777;4;0
283313;3;0
277994;3;0
340483;1;0
319775;3;0
313937;3;0
319775;1;1
295078;7;1
260096;7;1
308202;4;0
311264;3;0
261510;7;1
282457;7;1
271503;1;0
343763;4;0
343763;1;0
340943;4;0
291473;4;0
295242;3;0
271540;1;0
343934;1;0
290649;1;0
289487;4;0
310206;4;0
304397;7;0
304397;3;0
285765;1;0
285765;7;0
271794;3;0
336843;7;1
320315;7;1
320315;4;0
267196;3;0
267196;7;1
308725;4;0
283296;1;0
269411;3;0
336879;1;0
316812;1;0
316812;4;0
335488;4;0
309437;4;0
293305;4;0
293306;3;0
333386;7;1
336986;3;0
334307;3;0
414115;4;0
395917;4;0
374209;1;1
388033;3;0
388031;1;0
383240;1;0
389108;7;1
416370;4;0
373643;7;1
355964;4;0
369930;3;0
369923;7;1
362306;1;0
414205;1;1
376715;3;0
413086;7;1
413086;1;0
346499;3;0
398211;3;0
351472;3;0
351472;1;0
413889;3;0
407442;1;0
362300;1;0
365606;3;0
416855;3;0
355503;7;1
383824;1;1
373590;7;1
403481;4;0
398210;1;1
383656;4;0
383656;3;0
383656;7;1
388128;1;0
374319;7;1
377346;7;1
370591;1;0
359298;3;0
370022;7;1
409804;7;1
385096;4;0
385096;1;0
412511;1;0
347038;1;0
373286;7;1
357967;4;0
372814;7;1
372812;3;0
362117;3;0
406654;3;0
370306;7;1
413535;3;0
377336;4;0
353511;3;0
407454;3;0
407454;4;0
374594;3;0
386453;4;0
386453;7;1
395802;4;0
356380;3;0
377089;4;0
360703;4;0
356693;3;0
417641;7;1
366311;3;0
412747;7;1
411421;3;0
419577;1;0
2888327;1;0
2942263;3;0
2943127;3;0
2946910;3;0
2890364;7;1
2890364;3;0
2885633;1;0
2885635;1;1
2885635;1;1
2885632;3;0
2885632;1;1
2922601;4;0
2922601;3;0
2930930;1;0
2891438;6;0
2924008;7;1
2924008;3;0
2928014;4;0
2895154;7;1
2895154;4;0
2903200;1;1
2916912;3;0
2928338;3;0
2897377;1;0
2934307;1;0
2918901;1;0
2886345;4;0
2499622;1;0
2479080;1;1
2499624;1;0
2528669;3;0
2528669;7;1
2515424;1;1
2508280;1;0
2489892;4;0
2489892;3;0
2529484;7;0
2516509;4;0
2480712;1;1
2483894;1;0
2483894;4;0
2492709;4;0
2513656;3;0
2523242;7;1
2476512;7;1
2517071;7;1
2481747;3;0
2486046;4;0
2486046;1;0
102639;3;0
101436;4;0
101436;1;1
118233;3;0
122745;1;0
102872;4;0
126077;7;1
101320;4;0
105676;3;0
105676;1;0
105676;7;1
128174;1;0
101239;7;1
116710;1;0
127582;1;1
108817;4;0
119313;7;1
113925;4;0
125969;1;0
122320;1;0
122320;3;0
134711;1;0
1773824;4;0
2350576;3;0
2354938;4;0
2340614;7;1
2340601;3;0
2340601;1;1
2340597;1;1
2365010;3;0
2341036;4;0
2364807;1;0
2351554;7;1
2367673;3;0
2363135;7;1
2368031;3;0
2382596;3;0
2360230;7;1
2347878;4;0
2351305;1;0
1954695;7;1
1932538;4;0
1976862;4;0
1932538;1;1
1954905;4;0
1976972;1;1
1976972;3;0
1935561;1;1
1966123;7;1
1952504;3;0
1952504;7;1
1949656;1;0
1936604;4;0
1936207;3;0
1948372;7;1
1960715;1;0
1960715;4;0
1964426;7;1
1947462;1;0
1947975;7;1
1932856;7;1
1962170;7;1
2649948;1;0
2628136;1;0
2628136;3;0
2651720;3;0
